reference,amount,type,date,year
2541,3074.0,Other,2000-01-01,2000
3020,5403.0,Salary,2000-01-01,2000
3935,9254.0,Other,2000-01-02,2000
2029,-1537.0,Health Insurance,2000-01-03,2000
3392,-7106.0,Investments,2000-01-03,2000
4306,1132.0,Other,2000-01-04,2000
5819,431.0,Salary,2000-01-06,2000
4251,-2614.0,Groceries,2000-01-08,2000
8116,7446.0,Other,2000-01-08,2000
2768,9129.0,Salary,2000-01-08,2000
9712,8772.0,Tips,2000-01-09,2000
5256,-9956.0,Health Insurance,2000-01-09,2000
6251,8118.0,Tips,2000-01-10,2000
8732,1734.0,Other,2000-01-10,2000
2819,-5559.0,Food,2000-01-11,2000
6558,-5505.0,Leisure,2000-01-11,2000
2536,4593.0,Other,2000-01-11,2000
3453,420.0,Tips,2000-01-12,2000
7565,2113.0,Salary,2000-01-14,2000
4063,4418.0,Salary,2000-01-14,2000
6908,2480.0,Other,2000-01-14,2000
5296,1711.0,Other,2000-01-14,2000
4967,-2842.0,Groceries,2000-01-14,2000
5073,1004.0,Tips,2000-01-17,2000
5915,9426.0,Salary,2000-01-18,2000
1609,3512.0,Tips,2000-01-18,2000
1690,-7435.0,Health Insurance,2000-01-18,2000
617,5752.0,Salary,2000-01-20,2000
2249,5245.0,Other,2000-01-21,2000
4599,5438.0,Salary,2000-01-21,2000
1142,-2280.0,Subscriptions,2000-01-22,2000
2173,-7006.0,Health Insurance,2000-01-24,2000
3420,3791.0,Salary,2000-01-28,2000
3423,2307.0,Tips,2000-01-28,2000
9660,3290.0,Other,2000-02-01,2000
6031,-9997.0,Investments,2000-02-04,2000
3216,-1229.0,Food,2000-02-05,2000
4712,-5480.0,Food,2000-02-06,2000
5150,4676.0,Salary,2000-02-06,2000
6365,4751.0,Salary,2000-02-06,2000
7992,-1696.0,Subscriptions,2000-02-07,2000
6607,-2153.0,Subscriptions,2000-02-08,2000
4459,-1100.0,Food,2000-02-08,2000
1786,-7502.0,Subscriptions,2000-02-08,2000
6262,-4852.0,Groceries,2000-02-09,2000
9511,-5433.0,Investments,2000-02-10,2000
7552,-4745.0,Leisure,2000-02-11,2000
2233,6517.0,Other,2000-02-12,2000
127,3088.0,Other,2000-02-14,2000
5978,-6975.0,Groceries,2000-02-14,2000
5818,-7584.0,Subscriptions,2000-02-14,2000
521,-6821.0,Food,2000-02-15,2000
