reference,amount,type,date
115,2546.0,Other,2000-01-02
1129,3966.0,Tips,2000-01-02
7123,6005.0,Salary,2000-01-02
2079,-8448.0,Groceries,2000-01-02
1035,-8290.0,Health Insurance,2000-01-03
8830,-9071.0,Health Insurance,2000-01-04
940,-6262.0,Leisure,2000-01-04
455,-6024.0,Subscriptions,2000-01-05
5295,5455.0,Tips,2000-01-05
6740,-6909.0,Food,2000-01-05
2845,-5741.0,Food,2000-01-06
872,-926.0,Health Insurance,2000-01-06
9467,9108.0,Salary,2000-01-06
5567,-3212.0,Leisure,2000-01-07
365,851.0,Tips,2000-01-08
5520,6466.0,Salary,2000-01-08
3217,-4468.0,Food,2000-01-08
1138,5089.0,Tips,2000-01-08
1280,2782.0,Other,2000-01-09
2921,4455.0,Other,2000-01-09
9368,9848.0,Tips,2000-01-12
7430,-2855.0,Subscriptions,2000-01-12
3668,6577.0,Salary,2000-01-12
7467,9114.0,Salary,2000-01-12
9747,-3478.0,Leisure,2000-01-12
2573,3543.0,Tips,2000-01-13
9838,-1549.0,Leisure,2000-01-13
1098,-8580.0,Health Insurance,2000-01-14
2730,-8295.0,Health Insurance,2000-01-15
9234,6932.0,Salary,2000-01-15
6544,1398.0,Salary,2000-01-16
6938,-3139.0,Groceries,2000-01-16
7065,-988.0,Investments,2000-01-16
8962,7998.0,Salary,2000-01-16
3125,3761.0,Other,2000-01-17
7621,-1646.0,Subscriptions,2000-01-17
4696,-3538.0,Subscriptions,2000-01-18
4629,3490.0,Other,2000-01-18
2439,2252.0,Salary,2000-01-18
5833,4133.0,Tips,2000-01-19
8810,-5877.0,Leisure,2000-01-19
5170,-5558.0,Subscriptions,2000-01-19
7500,6028.0,Tips,2000-01-19
7850,7832.0,Tips,2000-01-19
4301,4238.0,Salary,2000-01-20
5547,-1130.0,Subscriptions,2000-01-20
4904,6722.0,Salary,2000-01-21
4449,3510.0,Tips,2000-01-21
9542,-4846.0,Food,2000-01-21
1270,-9029.0,Subscriptions,2000-01-21
1222,-8107.0,Health Insurance,2000-01-21
9099,-2006.0,Food,2000-01-21
7474,3715.0,Salary,2000-01-22
9569,-7527.0,Groceries,2000-01-22
4557,2666.0,Other,2000-01-24
3759,9583.0,Other,2000-01-24
9053,-2807.0,Investments,2000-01-24
4698,-56.0,Investments,2000-01-24
4131,7259.0,Salary,2000-01-25
6619,6316.0,Other,2000-01-25
23,642.0,Salary,2000-01-25
706,-8097.0,Groceries,2000-01-25
5761,4286.0,Other,2000-01-26
6486,2585.0,Tips,2000-01-26
5885,-4760.0,Leisure,2000-01-27
7459,-8869.0,Subscriptions,2000-01-27
294,-2337.0,Health Insurance,2000-01-27
2714,-7337.0,Health Insurance,2000-01-28
1208,-9692.0,Subscriptions,2000-01-28
6962,1975.0,Tips,2000-01-28
6038,-9230.0,Investments,2000-01-29
9760,5318.0,Tips,2000-01-29
4934,9351.0,Salary,2000-01-30
8233,-7102.0,Groceries,2000-01-31
1940,-4194.0,Food,2000-01-31
8629,6602.0,Salary,2000-01-31
7047,-6101.0,Subscriptions,2000-02-01
6764,8918.0,Salary,2000-02-01
5523,5979.0,Salary,2000-02-04
1227,-4367.0,Groceries,2000-02-04
5425,-5781.0,Food,2000-02-04
2155,-1629.0,Leisure,2000-02-04
9116,-8259.0,Investments,2000-02-05
3836,-9796.0,Groceries,2000-02-05
1960,3493.0,Tips,2000-02-06
2903,4468.0,Salary,2000-02-06
8682,-5910.0,Leisure,2000-02-07
3727,-5812.0,Health Insurance,2000-02-07
2085,4506.0,Tips,2000-02-07
5001,-1663.0,Subscriptions,2000-02-07
9965,820.0,Salary,2000-02-08
6729,5554.0,Tips,2000-02-08
9214,2626.0,Tips,2000-02-08
4971,-7625.0,Leisure,2000-02-08
3879,-8360.0,Investments,2000-02-09
7205,-7041.0,Groceries,2000-02-09
1047,-4409.0,Investments,2000-02-09
7841,-7161.0,Leisure,2000-02-10
9064,4257.0,Tips,2000-02-10
2356,4684.0,Tips,2000-02-10
6797,-6841.0,Investments,2000-02-11
8082,-7995.0,Leisure,2000-02-12
6085,2224.0,Salary,2000-02-12
6415,-9128.0,Subscriptions,2000-02-12
2200,7018.0,Salary,2000-02-12
2080,7367.0,Tips,2000-02-13
8833,4710.0,Other,2000-02-13
8138,-5300.0,Investments,2000-02-13
1034,-7806.0,Food,2000-02-13
7336,-7114.0,Leisure,2000-02-14
4150,-8169.0,Investments,2000-02-14
776,5271.0,Other,2000-02-15
8430,8089.0,Tips,2000-02-15
1719,312.0,Tips,2000-02-15
3454,6114.0,Salary,2000-02-15
394,104.0,Other,2000-02-15
3960,8774.0,Salary,2000-02-15
209,4721.0,Tips,2000-02-16
9849,-4872.0,Leisure,2000-02-16
1971,-227.0,Leisure,2000-02-16
8891,1034.0,Tips,2000-02-16
2282,414.0,Other,2000-02-16
9710,8755.0,Salary,2000-02-17
4221,-822.0,Food,2000-02-17
272,3472.0,Tips,2000-02-18
4378,-7385.0,Health Insurance,2000-02-18
1271,-3556.0,Groceries,2000-02-19
547,-4844.0,Food,2000-02-19
7742,-5647.0,Groceries,2000-02-19
7468,-9323.0,Health Insurance,2000-02-20
7087,-54.0,Subscriptions,2000-02-21
2828,9523.0,Other,2000-02-21
1684,-5198.0,Leisure,2000-02-21
6370,-7771.0,Health Insurance,2000-02-22
3520,-5776.0,Leisure,2000-02-22
7244,4751.0,Tips,2000-02-22
6588,-2271.0,Health Insurance,2000-02-22
4512,-8735.0,Investments,2000-02-23
6477,2100.0,Other,2000-02-23
6809,-5358.0,Health Insurance,2000-02-23
8774,-4840.0,Food,2000-02-23
9691,7175.0,Tips,2000-02-24
544,-8113.0,Subscriptions,2000-02-24
4921,5563.0,Other,2000-02-24
1023,-7592.0,Investments,2000-02-25
8476,-9314.0,Food,2000-02-25
5569,-1887.0,Groceries,2000-02-25
4812,-751.0,Groceries,2000-02-25
7258,-2256.0,Subscriptions,2000-02-26
8223,-4913.0,Leisure,2000-02-26
8838,4663.0,Tips,2000-02-26
8603,1989.0,Other,2000-02-27
1479,7749.0,Salary,2000-02-27
8579,-9501.0,Health Insurance,2000-02-27
2571,-281.0,Leisure,2000-02-27
9518,9249.0,Other,2000-02-28
8889,-9932.0,Investments,2000-02-28
479,2871.0,Other,2000-02-28
6746,-1592.0,Leisure,2000-02-28
1492,4397.0,Other,2000-02-28
696,-7837.0,Investments,2000-02-28
8556,-7588.0,Food,2000-02-29
3513,-2171.0,Leisure,2000-03-01
860,-4463.0,Food,2000-03-01
4417,-4294.0,Health Insurance,2000-03-01
325,-6302.0,Health Insurance,2000-03-01
6848,1993.0,Tips,2000-03-02
4738,2927.0,Tips,2000-03-02
3222,-8734.0,Subscriptions,2000-03-03
9405,-9573.0,Subscriptions,2000-03-03
3880,-6796.0,Investments,2000-03-03
369,8880.0,Other,2000-03-03
8892,5652.0,Salary,2000-03-03
7948,8630.0,Tips,2000-03-04
743,-2308.0,Investments,2000-03-04
3712,6161.0,Salary,2000-03-04
6029,9975.0,Tips,2000-03-05
9752,4332.0,Salary,2000-03-05
8733,-2646.0,Health Insurance,2000-03-08
2422,6217.0,Tips,2000-03-10
2238,4940.0,Salary,2000-03-10
3896,-8038.0,Investments,2000-03-10
1031,777.0,Salary,2000-03-11
6840,-4835.0,Groceries,2000-03-11
276,-9891.0,Subscriptions,2000-03-11
7235,2123.0,Tips,2000-03-12
5554,6747.0,Salary,2000-03-12
6599,3838.0,Other,2000-03-13
4085,-6488.0,Leisure,2000-03-13
1810,-4388.0,Subscriptions,2000-03-14
6974,8206.0,Tips,2000-03-14
6353,-2842.0,Food,2000-03-14
6947,8938.0,Salary,2000-03-14
2693,-8817.0,Health Insurance,2000-03-15
314,6787.0,Other,2000-03-15
753,-7679.0,Health Insurance,2000-03-16
7945,9119.0,Other,2000-03-16
5632,3810.0,Salary,2000-03-16
6508,-2936.0,Groceries,2000-03-16
5943,-3549.0,Investments,2000-03-16
6271,5178.0,Tips,2000-03-16
5736,-6093.0,Subscriptions,2000-03-17
5418,4114.0,Tips,2000-03-17
5223,6598.0,Salary,2000-03-17
6167,1676.0,Salary,2000-03-17
4573,4540.0,Salary,2000-03-18
9905,-7954.0,Food,2000-03-18
4070,-4399.0,Health Insurance,2000-03-19
5613,1526.0,Salary,2000-03-20
9768,8583.0,Other,2000-03-20
8324,7570.0,Other,2000-03-20
2861,6637.0,Other,2000-03-20
9293,-3446.0,Health Insurance,2000-03-20
2057,-816.0,Subscriptions,2000-03-21
6865,8363.0,Salary,2000-03-21
8696,-2238.0,Investments,2000-03-21
7920,9680.0,Other,2000-03-22
9251,-612.0,Subscriptions,2000-03-23
